,log(price),bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,days_distance,log_sqft_lot,log_sqft_lot15
0,5.346157302232008,3,1.0,1180,1.0,0,0,3,7,1180,0,1955,0,47.5112,-122.257,1340,164,8.639410824140487,8.639410824140487
1,5.730782275666389,3,2.25,2570,2.0,0,0,3,7,2170,400,1951,1,47.721000000000004,-122.319,1690,221,8.887652690325586,8.94102198354136
2,5.2552725051033065,2,1.0,770,1.0,0,0,3,6,770,0,1933,0,47.7379,-122.23299999999999,2720,299,9.210340371976184,8.994916943677111
3,5.781036938621132,4,3.0,1960,1.0,0,0,5,7,1050,910,1965,0,47.5208,-122.39299999999999,1360,221,8.517193191416238,8.517193191416238
4,5.707570176097937,3,2.0,1680,1.0,0,0,3,8,1680,0,1987,0,47.6168,-122.045,1800,292,8.997147151515142,8.923058219545728
5,6.088136088700551,4,4.5,5420,1.0,0,0,3,11,3890,1530,2001,0,47.6561,-122.005,4760,10,11.532041582162458,11.532041582162458
6,5.4107772333772095,3,2.25,1715,2.0,0,0,3,7,1715,0,1995,0,47.3097,-122.32700000000001,2238,56,8.827468112520654,8.827468112520654
7,5.465159697646179,3,1.5,1060,1.0,0,0,3,7,1060,0,1963,0,47.4095,-122.315,1650,258,9.181014542594355,9.181014542594355
8,5.36078268987328,3,1.0,1780,1.0,0,0,3,7,1050,730,1960,0,47.5123,-122.337,1780,348,8.918650278126863,9.001222992395064
9,5.509202522331103,3,2.5,1890,2.0,0,0,3,7,1890,0,2003,0,47.3684,-122.031,2390,314,8.788745881938135,8.931948346431495
10,5.821185882608845,3,2.5,3560,1.0,0,0,3,8,1860,1700,1965,0,47.6007,-122.145,2210,336,9.189729418072059,9.09661160664784
11,5.670245853074124,2,1.0,1160,1.0,0,0,4,7,860,300,1942,0,47.69,-122.292,1330,25,8.699514748210191,8.699514748210191
12,5.491361693834273,3,1.0,1430,1.5,0,0,4,7,1430,0,1927,0,47.7558,-122.229,1780,26,9.898525260706313,9.449121024069791
13,5.6020599913279625,3,1.75,1370,1.0,0,0,4,7,1370,0,1977,0,47.6127,-122.045,1370,158,9.177817180270623,9.23092700558457
14,5.724275869600789,5,2.0,1810,1.5,0,0,3,7,1810,0,1900,0,47.67,-122.39399999999999,1360,314,8.48673398393153,8.48673398393153
15,5.812913356642856,4,3.0,2950,2.0,0,3,3,9,1980,970,1979,0,47.5714,-122.375,2140,267,8.517193191416238,8.294049640102028
16,5.596597095626461,3,2.0,1890,2.0,0,0,3,7,1890,0,1994,0,47.7277,-121.962,1890,90,9.549665677579801,9.54809749706027
17,5.685741738602264,4,1.0,1600,1.5,0,0,4,7,1600,0,1916,0,47.6648,-122.34299999999999,1610,27,8.366370301681654,8.366370301681654
18,5.276461804173244,2,1.0,1200,1.0,0,0,4,7,1200,0,1921,0,47.3089,-122.21,1060,217,9.195226734166134,8.536014945656826
19,5.361727836017593,3,1.0,1250,1.0,0,0,4,7,1250,0,1969,0,47.3343,-122.306,1280,357,9.1874810778301,9.088172738001974
20,5.585460729508501,4,1.75,1620,1.0,0,0,4,7,860,760,1947,0,47.7025,-122.34100000000001,1400,12,8.513185170018698,8.513185170018698
21,6.301029995663981,3,2.75,3050,1.0,0,4,3,9,2330,720,1968,0,47.5316,-122.23299999999999,4110,116,10.711457836917562,9.920147993429236
22,5.45484486000851,5,2.5,2270,2.0,0,0,3,8,2270,0,1995,0,47.3266,-122.169,2240,62,8.748304912379623,8.854379458771108
23,5.402605241919915,2,1.5,1070,1.0,0,0,3,7,1070,0,1985,0,47.3533,-122.166,1220,14,9.173987542510384,9.034318927730707
24,5.517195897949974,3,2.25,2450,2.0,0,0,4,8,2450,0,1985,0,47.3739,-122.17200000000001,2200,202,8.779557455883728,8.834191318202071
25,5.367355921026019,3,2.0,1710,1.5,0,0,5,6,1710,0,1941,0,47.3048,-122.21799999999999,1030,185,8.454679286026995,8.45638105201948
26,5.971739590887778,3,1.75,2450,2.0,0,0,3,8,1750,700,1915,0,47.6386,-122.36,1760,55,7.897668150726906,8.181160858023409
27,5.824125833916549,3,1.0,1400,1.5,0,0,5,8,1400,0,1909,0,47.6221,-122.314,1860,213,7.365812837209472,8.258681496264236
28,5.6414741105041,3,1.75,1520,1.0,0,0,3,7,790,730,1948,0,47.695,-122.304,1520,53,8.760923376338836,8.737933858114136
29,5.8567288903828825,4,2.5,2570,2.0,0,0,3,8,2570,0,2005,0,47.7073,-122.11,2630,304,8.878079256126435,8.703838719690246
30,5.763802224074593,3,2.5,2320,2.0,0,0,3,8,2320,0,2003,0,47.5391,-122.07,2580,192,8.289037098278483,8.289037098278483
31,5.447158031342219,2,1.5,1190,3.0,0,0,3,7,1190,0,2005,0,47.7274,-122.35700000000001,1390,213,7.142827401161621,7.470793774195062
32,5.8372727025023,4,1.75,2330,1.5,0,0,4,7,1510,820,1929,0,47.6823,-122.368,1460,53,8.517193191416238,8.517193191416238
33,5.7283537820212285,3,1.0,1090,1.5,0,0,4,8,1090,0,1929,0,47.6889,-122.375,1570,192,8.006367567650246,8.533066540572527
34,5.508529718971286,4,2.75,2060,1.0,0,0,3,7,1280,780,1981,0,47.4276,-122.15700000000001,2020,215,8.803724602110622,9.073374516903025
35,5.842609239610562,3,2.5,2300,1.5,0,0,3,8,1510,790,1930,1,47.6827,-122.31,1590,42,8.026170194946426,8.090708716083997
36,5.740362689494244,4,1.0,1660,1.0,0,0,1,5,930,730,1933,0,47.6621,-122.132,2160,26,10.458751025732687,9.347228624038305
37,5.8061799739838875,4,2.0,2360,2.0,0,0,4,8,2360,0,1904,0,47.6702,-122.36200000000001,1730,242,8.699514748210191,8.45531778769815
38,5.380211241711606,4,1.0,1220,1.0,0,0,2,7,890,330,1969,0,47.3341,-122.28200000000001,1290,287,8.996528148090857,8.961879012677683
39,5.781755374652469,4,2.5,2620,2.0,0,0,3,8,2620,0,1996,0,47.5301,-122.18,2620,49,8.929700114313448,9.382948236582498
40,5.795880017344075,4,2.5,2570,2.0,0,0,3,9,2570,0,2000,0,47.6145,-122.027,2470,74,8.616133139271142,8.642768014324304
41,5.889301702506311,4,2.25,4220,1.0,0,0,3,8,2600,1620,1984,0,47.445,-122.34700000000001,2410,101,10.09352923234522,10.329310689232171
42,5.935502227576441,5,2.75,3595,2.0,0,0,3,9,3595,0,2014,0,47.6848,-122.016,3625,66,8.637462023807181,8.637462023807181
43,5.835690571492425,3,1.0,1570,2.0,0,0,3,7,1570,0,1922,0,47.6413,-122.36399999999999,1580,179,7.731930721948486,7.878534196140362
44,5.489958479424835,3,1.0,1280,1.0,0,0,4,6,920,360,1959,0,47.4485,-122.175,1340,88,9.175334762777368,9.083415678402515
45,5.688419822002711,3,2.5,3160,2.0,0,0,3,8,3160,0,2003,0,47.7443,-121.977,3050,77,9.51804563563343,9.13043098874788
46,5.323231468114774,3,1.0,990,1.0,0,0,3,6,990,0,1966,0,47.3066,-122.37100000000001,1228,327,9.051110146405625,9.08704215563169
47,5.894869656745253,4,2.5,2290,2.0,0,0,4,9,2290,0,1981,0,47.6194,-122.15100000000001,2680,75,9.504203303503045,9.52405562147478
48,5.653212513775344,3,1.75,1250,1.0,0,0,4,7,1250,0,1953,0,47.6796,-122.301,970,361,8.693328989123106,8.536995818712418
